上海淞南工业区开发有限公司,91310113133402572J,正常,国家税务总局上海市宝山区税务局第十八税务所,朱丽平
上海盈科数字商务有限公司,'913101136319694323,注销,国家税务总局上海市宝山区税务局第十八税务所,马岚
