hot,info,rate,title,title2
"(
                    76281人评价
                )",顾漫 / 江苏文艺出版社 / 2009-8 / 25.00,8.1,"
                微微一笑很倾城

                
              ",
"(
                    77224人评价
                )",安妮宝贝 / 作家出版社 / 2006-3 / 25.00元,8.0,"
                莲花

                
              ",
"(
                    69710人评价
                )",[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元,8.9,"
                哈利·波特与火焰杯

                
              ",Harry Potter and the Goblet of Fire
"(
                    67241人评价
                )",沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元,8.6,"
                边城

                
              ",
"(
                    66735人评价
                )",[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,8.9,"
                月亮和六便士

                
              ",The Moon and Sixpence
"(
                    69900人评价
                )",幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,8.4,"
                向左走·向右走

                
              ",
"(
                    61763人评价
                )",余华 / 作家出版社 / 2012-8 / 20.00元,9.3,"
                活着

                
              ",
"(
                    67858人评价
                )",霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00,8.3,"
                穆斯林的葬礼

                
              ",
"(
                    74887人评价
                )",张嘉佳 / 湖南文艺出版社 / 2013-11-1 / 36.00元,7.1,"
                从你的全世界路过

                
                  ",
"(
                    82946人评价
                )",郭敬明 / 长江文艺出版社 / 2007-5 / 24.00元,6.3,"
                悲伤逆流成河

                
              ",
"(
                    55039人评价
                )",金庸 / 三联书店 / 1994-5 / 96.0,9.1,"
                天龙八部

                
              ",
"(
                    64807人评价
                )",[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00,8.4,"
                恶意

                
              ",悪意
"(
                    72722人评价
                )",韩寒 / 中国青年出版社 / 2004-8 / 20.00元,7.4,"
                长安乱

                
              ",
"(
                    6870人评价
                )",J.K.Rowling / Arthur A. Levine Books / 2007-7-21 / 34.99美元,8.9,"
                Harry Potter and the Deathly Hallows

                
              ",
"(
                    70762人评价
                )",[日]东野圭吾 / 赵峻 / 南海出版公司 / 2010-1 / 20.00元,7.6,"
                放学后

                
              ",はうかご
"(
                    61065人评价
                )",[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2005-10 / 58.00元,8.8,"
                哈利·波特与混血王子

                
              ",Harry Potter and the Half-Blood Prince
"(
                    69296人评价
                )",[日] 青山七惠 / 竺家荣 / 上海译文出版社 / 2007-9 / 15.00元,7.6,"
                一个人的好天气

                
              ",ひとり日和
"(
                    61051人评价
                )",（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元,8.5,"
                苏菲的世界

                
              ",Sofies verden
"(
                    59538人评价
                )",余华 / 南海出版公司 / 1998-9 / 16.80元,8.7,"
                许三观卖血记

                
              ",
"(
                    67625人评价
                )",郭敬明 / 春风文艺出版社 / 2005-2 / 24.00元,7.4,"
                1995-2005夏至未至

                
              ",
"(
                    59990人评价
                )",南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元,8.4,"
                盗墓笔记

                
                  ",
"(
                    56710人评价
                )",三毛 / 皇冠出版社 / 1976 / 160 TWD,9.0,"
                撒哈拉的故事

                
              ",
"(
                    56522人评价
                )",[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,8.9,"
                霍乱时期的爱情

                
              ",El amor en los tiempos del cólera
"(
                    57628人评价
                )",[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元,8.7,"
                哈利·波特与凤凰社

                
              ",Harry Potter and the Order of the Phoenix
"(
                    42230人评价
                )",亦舒 / 新世界出版社 / 2007-2 / 22.00元,8.1,"
                喜宝

                
              ",
"(
                    63058人评价
                )",唐七公子 / 沈阳出版社 / 2009-1 / 26.80,8.1,"
                三生三世 十里桃花

                
              ",
"(
                    60320人评价
                )",[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元,8.1,"
                海边的卡夫卡

                
              ",
"(
                    62213人评价
                )",余秋雨 / 东方出版中心 / 2001-4 / 22.00元,7.8,"
                文化苦旅

                
              ",
"(
                    49985人评价
                )",大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,8.9,"
                基督山伯爵

                
              ",Le Comte de Monte-Cristo
